Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Calorie Intake,Dietary Preferences,Average Spend per Meal Order
221958,Female,27,7.3,Build muscle,,Whole foods,67.15
771155,Female,24,6.2,Endurance training,2173.0,Whole foods,52.94
231932,Male,22,7.4,Fat loss,1752.0,Whole foods,38.13
465838,Female,23,6.0,Build muscle,2884.0,High protein,61.44
359178,Female,18,9.3,Build muscle,2559.0,Whole foods,69.78
744167,Male,23,5.7,Flexibility,1606.0,Whole foods,44.64
210268,Male,30,5.5,Build muscle,2719.0,Whole foods,62.43
832180,Female,26,6.9,Fat loss,1940.0,High protein,36.91
154886,Male,32,7.0,Fat loss,,Vegan,33.42
237337,Male,24,,Build muscle,2870.0,Whole foods,69.31
621430,Female,31,5.4,Build muscle,,Vegan,50.5
187498,Male,29,5.8,Build muscle,2551.0,Low carb,40.84
999159,Male,25,4.4,General health,2371.0,Whole foods,54.75
275203,Male,24,7.3,Fat loss,1533.0,Low carb,28.69
291335,Female,26,,Endurance training,2095.0,Whole foods,48.53
378167,Male,30,4.3,Flexibility,1588.0,Vegan,36.74
141090,Female,29,,General health,2030.0,Whole foods,49.91
429365,Male,28,6.699999999999999,Fat loss,1955.0,High protein,39.11
164820,Female,22,7.0,Fat loss,1774.0,Low carb,35.79
887201,Male,22,6.5,Endurance training,2245.0,Whole foods,50.75
421879,Female,25,3.9,Endurance training,2110.0,Whole foods,51.12
818315,Male,24,7.4,Fat loss,1733.0,Low carb,35.27
427069,Other,29,5.1,Endurance training,,Whole foods,47.8
876997,Female,21,8.600000000000001,Build muscle,2976.0,Whole foods,78.82
299041,Male,26,5.6,Fat loss,1916.0,High protein,34.56
891743,Female,25,5.699999999999999,Build muscle,2665.0,High protein,52.98
203355,Male,44,7.3,Build muscle,2627.0,High protein,58.95
335796,Male,31,5.7,Build muscle,2736.0,High protein,58.44
314176,Male,23,5.9,Endurance training,2493.0,Whole foods,60.98
284779,Male,19,8.7,Fat loss,1790.0,Whole foods,45.42
447449,Male,29,6.2,Build muscle,2606.0,Whole foods,68.33
521909,Male,21,6.2,Fat loss,1627.0,High protein,37.62
358795,Female,20,7.800000000000001,Fat loss,1694.0,High protein,33.64
586232,Male,24,8.2,Build muscle,2838.0,Low carb,49.41
600186,Male,25,3.6,Endurance training,2393.0,Whole foods,46.36
256730,Male,27,4.5,General health,2274.0,Low carb,41.89
970910,Male,34,5.9,General health,2454.0,Whole foods,59.52
484681,Male,32,4.6,Endurance training,2394.0,Whole foods,63.23
249503,Female,28,6.4,Fat loss,1610.0,Low carb,33.48
754811,Male,27,7.2,Build muscle,2589.0,Whole foods,70.68
627035,Male,28,7.7,Build muscle,2750.0,High protein,52.17
748143,Male,30,5.3,Build muscle,2779.0,Whole foods,72.46
552366,Male,31,5.0,Flexibility,1832.0,Vegan,37.08
165725,Female,22,8.6,Build muscle,2723.0,High protein,59.78
229981,Male,24,7.1,Build muscle,2600.0,Whole foods,56.89
184654,Female,21,,General health,1931.0,Whole foods,49.18
691723,Other,40,5.8,Flexibility,1512.0,Whole foods,28.74
419030,Male,37,6.4,General health,2256.0,Vegan,47.78
428947,Female,27,5.5,Build muscle,2940.0,High protein,59.52
655839,Male,29,5.1000000000000005,Build muscle,2996.0,High protein,55.4
373538,Female,33,6.2,Build muscle,2597.0,,46.45
431236,Male,20,6.8,Build muscle,2619.0,Vegan,60.74
628178,Female,27,6.4,Build muscle,2792.0,High protein,54.86
665894,Male,18,8.5,Fat loss,1803.0,Low carb,34.1
589492,Male,20,4.6,Flexibility,1500.0,Whole foods,37.64
356840,Male,23,7.199999999999999,Build muscle,2559.0,Whole foods,76.52
573254,Female,29,,Endurance training,2249.0,Whole foods,60.61
449457,Female,25,4.3,Endurance training,2139.0,Whole foods,57.38
765987,Female,22,8.4,Build muscle,2648.0,High protein,
370936,Male,27,5.3,Endurance training,2394.0,Whole foods,58.94
339931,Female,29,6.2,Build muscle,2543.0,High protein,38.75
339629,Male,26,7.7,Build muscle,2870.0,High protein,54.43
305041,Male,18,5.1,General health,2497.0,High protein,46.62
798361,Male,23,8.7,Build muscle,2607.0,Vegan,48.42
831912,Female,30,,Flexibility,1543.0,Vegan,28.54
517113,Male,29,4.5,Build muscle,2577.0,High protein,40.08
168148,Female,22,7.699999999999999,Fat loss,1725.0,Whole foods,44.78
877089,Female,21,7.1,Fat loss,1661.0,Low carb,37.18
748531,Male,33,6.3,Build muscle,2780.0,High protein,
351995,Male,32,,Build muscle,2752.0,High protein,56.81
778843,Male,29,5.9,Endurance training,2131.0,Whole foods,47.85
672843,Male,27,5.8,General health,2247.0,High protein,35.43
356508,Male,21,4.8,General health,2273.0,Whole foods,46.2
903591,Male,41,7.2,Fat loss,1643.0,Low carb,26.52
996942,Female,20,6.2,General health,1908.0,,43.45
206530,Male,32,6.3,Endurance training,2193.0,Whole foods,53.58
704365,Female,30,6.8,General health,1834.0,Whole foods,41.63
922352,Female,29,5.699999999999999,Fat loss,1966.0,High protein,41.64
560337,Female,33,3.8,Endurance training,2389.0,Low carb,41.3
824839,Female,22,6.0,General health,2074.0,Low carb,39.07
905889,Female,23,7.0,Build muscle,2686.0,High protein,59.65
559773,Male,27,6.4,General health,2042.0,Low carb,32.91
308261,Male,21,8.2,Fat loss,1763.0,Low carb,37.74
864469,Female,34,7.2,Build muscle,2961.0,Low carb,54.55
441097,Female,29,7.6,Build muscle,2509.0,Vegan,53.34
415139,Male,29,7.800000000000001,Build muscle,2950.0,High protein,63.77
271829,Male,25,5.8,Fat loss,1665.0,Vegan,41.5
371836,Male,20,,General health,2340.0,Vegan,45.3
538974,Female,32,6.1,Build muscle,2770.0,High protein,53.83
302283,Male,23,5.2,General health,1886.0,,48.0
296769,Male,33,6.0,General health,2334.0,High protein,45.45
661353,Male,25,6.6,Build muscle,2709.0,,56.97
323165,Male,26,4.9,General health,1845.0,Whole foods,46.84
723587,Female,26,4.9,Flexibility,1966.0,Whole foods,57.32
635822,Male,29,5.1,General health,2339.0,Whole foods,49.06
587879,Female,19,6.2,General health,1825.0,High protein,37.2
664685,Male,27,4.4,Flexibility,1765.0,Whole foods,
882038,Female,32,4.0,Endurance training,2174.0,Whole foods,55.14
453531,Male,26,4.7,Build muscle,2503.0,Vegan,44.48
363160,Male,33,,General health,2110.0,Whole foods,53.45
679879,Female,26,4.3,Endurance training,2321.0,Whole foods,52.51
320884,Other,27,6.1,Fat loss,1566.0,High protein,29.4
123247,Female,32,5.5,Build muscle,2634.0,Low carb,40.63
124300,Female,23,7.5,General health,1854.0,Whole foods,45.39
567281,Female,40,3.7,Build muscle,2963.0,Low carb,57.27
707086,Male,35,5.5,Flexibility,2042.0,Whole foods,50.22
633556,Other,20,7.2,Build muscle,2573.0,Whole foods,66.79
448951,Male,20,,Build muscle,2518.0,Whole foods,70.26
374329,Female,36,6.9,Fat loss,1655.0,Whole foods,44.08
819064,Female,29,6.6,Build muscle,2836.0,Whole foods,66.3
842139,Female,18,5.7,Endurance training,2155.0,Whole foods,
532315,Male,28,4.6,Flexibility,1646.0,,30.59
616588,Male,25,,General health,2284.0,Low carb,38.76
336584,Female,25,6.6,Build muscle,2586.0,High protein,44.23
662332,Male,30,5.8999999999999995,Build muscle,2519.0,Whole foods,66.03
937646,Other,30,5.3,General health,2068.0,Whole foods,48.84
476896,Female,34,7.0,Flexibility,1832.0,Whole foods,47.73
148984,Male,28,8.8,Fat loss,1542.0,High protein,29.62
402918,Female,31,6.800000000000001,Fat loss,1894.0,High protein,41.71
364712,Male,21,7.1,Build muscle,,Whole foods,67.82
220151,Female,24,7.9,General health,2200.0,High protein,45.21
555808,Female,23,5.9,Endurance training,2437.0,Vegan,56.63
233767,Male,31,4.7,Build muscle,2805.0,High protein,58.2
748663,Male,30,6.2,Build muscle,2527.0,High protein,50.34
803550,Female,41,3.4,General health,2266.0,Whole foods,44.86
236330,Male,21,5.8999999999999995,Build muscle,2759.0,High protein,69.35
580754,Female,26,5.1,Build muscle,2521.0,Low carb,54.41
401648,Male,31,8.3,Fat loss,1969.0,High protein,45.7
788519,Male,19,7.4,Build muscle,2874.0,Whole foods,66.82
113986,Male,19,,Build muscle,2600.0,High protein,
686146,Male,34,5.5,General health,2350.0,Whole foods,54.56
229312,Male,21,5.3,General health,2152.0,Whole foods,58.98
112666,Female,32,,General health,2099.0,Low carb,39.23
400804,Male,34,5.3,General health,2481.0,Whole foods,56.14
234633,Male,22,10.3,Fat loss,1795.0,Low carb,
388998,Male,29,3.7,General health,2152.0,Whole foods,56.99
950937,Male,29,6.1000000000000005,Build muscle,2895.0,High protein,64.99
728776,Male,25,4.0,Endurance training,2129.0,Whole foods,58.74
807611,Female,27,3.9,Flexibility,,Whole foods,44.14
384806,Female,31,3.9000000000000004,Build muscle,2573.0,High protein,48.17
894824,Male,26,4.9,Build muscle,2841.0,High protein,38.85
130535,Female,20,8.6,Fat loss,1964.0,Whole foods,52.56
475713,Female,29,5.5,Build muscle,2589.0,Vegan,
938688,Male,22,8.6,Build muscle,2566.0,Whole foods,65.31
451279,Female,30,5.2,General health,2254.0,Whole foods,55.14
921654,Other,21,,Flexibility,1831.0,Whole foods,39.05
701661,Male,21,6.1,Fat loss,1726.0,Low carb,36.15
747972,Male,25,,Build muscle,2964.0,High protein,61.87
589570,Female,34,4.7,Build muscle,2847.0,Vegan,62.69
556551,Female,31,5.2,General health,2032.0,Whole foods,54.61
373109,Male,22,9.1,Fat loss,1765.0,Low carb,39.42
124538,Female,18,8.0,Build muscle,2585.0,High protein,50.88
994498,Female,28,5.699999999999999,Fat loss,1601.0,Low carb,30.62
301664,Female,29,6.0,Build muscle,2940.0,Low carb,53.77
591234,Female,30,7.2,Fat loss,1980.0,Whole foods,50.85
999684,Female,33,3.9,General health,2013.0,Whole foods,53.4
239182,Male,25,7.8,Fat loss,1607.0,High protein,38.38
572525,Male,31,7.1,Endurance training,2164.0,Whole foods,64.76
258338,Female,25,5.300000000000001,Build muscle,2960.0,Whole foods,
284064,Female,32,5.8,General health,2402.0,Whole foods,59.08
314020,Male,31,4.5,Endurance training,2191.0,Whole foods,33.71
723094,Female,21,7.4,Build muscle,2834.0,Whole foods,75.87
997421,Female,27,,Fat loss,1585.0,High protein,31.43
715270,Male,31,4.2,Build muscle,2721.0,High protein,48.33
745914,Female,39,5.3,General health,2223.0,Whole foods,52.27
219176,Female,21,7.199999999999999,Fat loss,1600.0,High protein,32.33
318126,Female,28,5.5,Flexibility,1863.0,High protein,41.0
318969,Male,32,7.0,Build muscle,2559.0,Whole foods,55.38
222409,Male,33,3.1,General health,2281.0,Whole foods,48.41
647707,Female,25,4.3,Endurance training,2249.0,High protein,45.64
353618,Male,27,6.7,General health,2359.0,Whole foods,61.55
869598,Male,37,4.2,Build muscle,2616.0,Vegan,57.58
150015,Male,29,6.8999999999999995,Fat loss,1726.0,Low carb,30.06
872838,Male,32,6.9,General health,2344.0,Whole foods,53.37
222096,Male,18,9.100000000000001,Build muscle,2543.0,High protein,50.52
731347,Male,20,6.8,Build muscle,2975.0,High protein,60.19
285340,Male,36,5.7,Fat loss,1664.0,High protein,41.94
210687,Male,18,8.7,Fat loss,,Low carb,27.53
974371,Female,23,7.2,Build muscle,2844.0,Low carb,51.58
511357,Female,25,5.3999999999999995,Build muscle,2791.0,Whole foods,60.45
835716,Male,33,4.5,Build muscle,2836.0,Whole foods,59.15
205878,Female,21,5.8,General health,2085.0,Whole foods,56.39
827270,Male,28,3.6,Endurance training,2203.0,,55.17
298286,Female,24,8.3,General health,2483.0,High protein,53.58
873290,Female,18,5.7,Flexibility,2023.0,High protein,45.58
874684,Other,31,7.4,Fat loss,,Whole foods,44.16
264899,Female,25,,Build muscle,2620.0,High protein,50.68
424767,Female,32,5.8,Build muscle,2932.0,High protein,68.34
961882,Female,21,5.7,Build muscle,2743.0,Vegan,56.82
979858,Male,22,6.5,Flexibility,2163.0,Vegan,51.05
479989,Male,24,6.3,Fat loss,1651.0,Whole foods,
515515,Female,42,5.9,Build muscle,2687.0,High protein,43.84
143585,Male,26,6.8,Build muscle,2894.0,,47.31
471369,Female,30,6.7,Fat loss,1512.0,Low carb,27.41
164044,Male,25,3.6,Endurance training,2090.0,Whole foods,55.19
542296,Male,32,6.0,Build muscle,,High protein,57.32
209556,Male,29,6.5,Flexibility,2085.0,Vegan,50.43
626981,Male,33,5.5,Fat loss,1755.0,Whole foods,38.95
981691,Female,20,,Build muscle,2955.0,Whole foods,80.41
867595,Male,22,,General health,2247.0,Low carb,37.37
300235,Male,34,6.7,Build muscle,2775.0,High protein,56.37
125939,Male,31,4.0,Flexibility,1570.0,Vegan,33.76
252906,Male,32,5.6,Flexibility,2089.0,Whole foods,50.61
642335,Female,25,5.5,General health,1929.0,Whole foods,
388249,Male,32,4.8,General health,1842.0,Low carb,30.71
175766,Female,24,8.6,Build muscle,2507.0,Whole foods,56.54
508923,Female,28,4.3,Flexibility,1512.0,Vegan,33.02
515192,Female,31,6.4,Fat loss,1712.0,High protein,33.94
668550,Female,20,6.5,General health,2422.0,High protein,65.68
487261,Female,21,6.5,Flexibility,2034.0,Vegan,48.25
910208,Other,38,5.9,Flexibility,1801.0,Vegan,37.79
785440,Male,31,,General health,2326.0,High protein,39.71
752664,Male,28,6.4,Build muscle,2629.0,Vegan,46.98
554589,Male,24,4.7,Flexibility,2072.0,Vegan,39.04
237848,Male,25,5.1,Endurance training,2114.0,Whole foods,52.22
717075,Female,25,4.5,Flexibility,1959.0,Vegan,48.94
227948,Female,25,7.1,Endurance training,2319.0,High protein,53.03
679304,Male,26,6.2,Build muscle,2807.0,High protein,56.63
502690,Male,22,7.5,Build muscle,2919.0,High protein,56.93
599046,Male,25,7.8,Fat loss,1950.0,Low carb,39.76
551269,Female,23,5.9,General health,2124.0,High protein,40.36
121959,Female,29,6.2,Build muscle,2566.0,Low carb,55.89
760890,Male,35,6.7,Fat loss,1748.0,High protein,35.88
850216,Female,26,6.4,Build muscle,2674.0,Vegan,
890180,Female,21,5.7,General health,2313.0,Whole foods,45.52
328576,Male,25,5.8,Fat loss,1671.0,High protein,33.74
637833,Female,21,6.6,Build muscle,,High protein,
265838,Female,28,5.5,Build muscle,2947.0,High protein,52.11
435674,Male,25,3.7,Build muscle,2964.0,Low carb,48.11
979989,Male,32,6.0,Fat loss,1833.0,High protein,41.76
161087,Male,33,6.7,Build muscle,2783.0,Low carb,43.9
693128,Male,31,6.5,Build muscle,2974.0,Low carb,59.56
218451,Female,20,6.5,Flexibility,1553.0,Whole foods,37.48
547600,Female,20,5.6,General health,2257.0,Whole foods,53.32
937437,Male,19,8.2,Fat loss,1566.0,Low carb,26.78
539792,Male,33,3.7,Flexibility,1919.0,Vegan,42.27
139353,Male,24,7.1,Build muscle,2601.0,Whole foods,76.5
293075,Male,36,5.3,Endurance training,2119.0,Whole foods,55.82
314283,Female,35,,Endurance training,2190.0,Low carb,35.65
414877,Male,24,8.3,Fat loss,,Whole foods,55.25
165318,Male,27,4.699999999999999,Build muscle,2969.0,High protein,55.62
865313,Male,19,5.8,Fat loss,1803.0,Whole foods,52.08
582690,Female,30,8.5,Fat loss,1922.0,Whole foods,54.08
516880,Male,35,5.0,General health,2358.0,High protein,31.73
691460,Female,22,5.3999999999999995,Build muscle,2721.0,Whole foods,60.52
840976,Male,26,5.3,Build muscle,2520.0,High protein,54.32
881239,Female,33,5.3,Build muscle,2657.0,High protein,52.82
193264,Female,19,8.3,Build muscle,2847.0,High protein,52.77
870746,Male,21,6.5,Fat loss,1658.0,Vegan,34.36
913168,Male,18,6.0,Build muscle,2876.0,High protein,47.04
325281,Female,34,5.5,General health,2034.0,High protein,40.57
737147,Female,25,7.4,Build muscle,2649.0,Whole foods,76.58
998613,Male,31,5.8,Build muscle,2904.0,High protein,60.94
494070,Male,23,,Endurance training,2256.0,High protein,55.08
452228,Female,29,,Build muscle,2664.0,High protein,57.24
531839,Female,25,5.4,Endurance training,2076.0,Vegan,49.94
369536,Male,22,7.4,Endurance training,2084.0,Whole foods,62.68
417824,Female,20,6.0,Build muscle,2545.0,,52.5
357426,Male,32,6.1,Build muscle,2892.0,Whole foods,69.01
277789,Female,20,6.9,Build muscle,2900.0,Whole foods,75.93
613153,Male,30,7.6,Build muscle,2546.0,High protein,59.18
842452,Male,28,6.3,Build muscle,2712.0,,51.46
937291,Male,27,4.0,Build muscle,2978.0,High protein,
225657,Female,26,4.9,Build muscle,2986.0,Vegan,62.84
335167,Male,20,6.1000000000000005,Fat loss,1558.0,High protein,37.08
781669,Male,23,5.1,Endurance training,2053.0,High protein,45.02
580671,Male,28,7.9,Fat loss,1841.0,Whole foods,40.62
819094,Male,33,3.8000000000000003,Build muscle,,High protein,57.8
170467,Other,22,6.5,Build muscle,2691.0,High protein,50.43
283734,Male,28,4.9,General health,2302.0,Whole foods,54.39
722794,Female,24,6.3999999999999995,Fat loss,1505.0,Low carb,25.44
209751,Female,27,6.3,General health,1943.0,Vegan,56.42
481050,Male,23,5.0,Build muscle,2845.0,Vegan,60.69
911774,Male,23,6.4,Endurance training,2260.0,High protein,41.55
792517,Male,28,7.1,Fat loss,1572.0,Vegan,40.65
561079,Male,23,7.2,Build muscle,2673.0,High protein,57.72
468452,Male,27,7.6,Fat loss,1731.0,Whole foods,44.09
206081,Male,27,6.3,Fat loss,,Whole foods,49.05
713333,Female,34,6.7,Build muscle,2927.0,Whole foods,67.09
658986,Male,39,7.0,Build muscle,2946.0,Whole foods,69.42
210078,Male,30,5.7,General health,2021.0,Whole foods,39.98
967055,Female,35,4.3,Flexibility,,Vegan,27.06
122671,Male,20,9.5,Build muscle,2615.0,High protein,63.71
518400,Female,21,,Build muscle,2525.0,Vegan,63.76
455528,Female,38,7.1,Build muscle,2552.0,Whole foods,63.43
710490,Male,32,7.2,Endurance training,2364.0,Low carb,53.08
151663,Female,30,5.2,Build muscle,2528.0,Whole foods,60.24
115708,Male,23,5.5,Flexibility,1518.0,Whole foods,37.34
978338,Male,43,5.8,Build muscle,2802.0,Whole foods,67.97
411955,Male,23,,Build muscle,2891.0,Whole foods,69.54
233883,Male,25,5.7,Endurance training,2278.0,Low carb,41.07
418394,Female,23,5.8,General health,2428.0,High protein,54.06
212547,Male,26,7.4,Fat loss,1605.0,High protein,35.56
659042,Male,29,7.5,Fat loss,1918.0,High protein,44.09
851102,Male,26,4.3,Flexibility,1808.0,Whole foods,49.28
862002,Female,28,7.2,Build muscle,2726.0,Whole foods,69.04
242483,Male,33,6.6,General health,1985.0,Whole foods,45.09
758271,Female,23,7.4,Build muscle,,Vegan,52.98
314835,Male,26,5.7,General health,2327.0,High protein,47.19
501896,Female,25,4.6,Endurance training,2272.0,High protein,43.72
184896,Other,23,8.7,Build muscle,2659.0,High protein,55.26
577095,Female,23,,General health,2023.0,Vegan,43.85
171295,Female,27,7.8,Build muscle,2755.0,Low carb,64.62
843974,Male,28,6.1,Build muscle,2679.0,High protein,46.45
987121,Female,30,8.3,Fat loss,1519.0,Low carb,21.75
373255,Male,26,6.1,Build muscle,2611.0,,53.54
399648,Male,21,6.4,Endurance training,2119.0,Whole foods,50.92
757162,Male,30,6.5,Build muscle,2693.0,High protein,55.25
108155,Female,30,6.2,Build muscle,2967.0,High protein,61.29
566872,Male,33,6.2,Build muscle,2610.0,High protein,58.36
925816,Female,34,5.6,Build muscle,2709.0,Whole foods,57.9
474705,Female,30,6.0,Fat loss,1500.0,High protein,29.02
671542,Female,30,4.6,General health,,Whole foods,47.61
908350,Female,28,3.5,Flexibility,1592.0,Whole foods,42.47
710269,Female,35,4.6,General health,2020.0,Whole foods,60.1
654594,Other,24,6.8,Build muscle,2710.0,Whole foods,71.19
247718,Female,26,6.1,Fat loss,1927.0,Low carb,36.39
408987,Female,29,6.7,Build muscle,2731.0,High protein,50.07
745263,Other,28,5.5,Build muscle,2761.0,High protein,51.28
458745,Female,20,7.199999999999999,Fat loss,1863.0,,
207512,Male,21,5.5,Build muscle,2602.0,High protein,54.51
247443,Male,29,5.800000000000001,Build muscle,2549.0,,51.81
570587,Male,27,7.0,Flexibility,1873.0,Vegan,35.51
473616,Male,30,6.9,Fat loss,1609.0,Low carb,29.89
757409,Female,26,6.5,Fat loss,1955.0,High protein,44.78
786976,Female,25,7.0,Build muscle,2587.0,Vegan,57.8
465871,Female,32,,Build muscle,2519.0,Vegan,56.28
475037,Male,26,4.7,General health,1813.0,High protein,38.31
907364,Female,18,6.6,Build muscle,2632.0,High protein,60.79
217796,Female,33,4.9,Fat loss,1924.0,Vegan,42.62
391999,Female,18,7.4,Build muscle,2795.0,Low carb,50.11
292506,Female,34,6.800000000000001,Fat loss,1533.0,Low carb,26.16
